_id,en.name,en.address,en.location,map,website,latitude,longitude
-100,Khao Kheow Open Zoo,"235 หมู่ที่ 7 Tambon Bang Phra, Amphoe Si Racha, Chang Wat Chon Buri 20110, Thailand","Si Racha, Chon Buri, Thailand",https://goo.gl/maps/QRi8XP3ynNU2,http://www.khaokheow.zoothailand.org/,13.2148627,100.9866786
-43,Columbus Zoo and Aquarium,"4850 W Powell Rd, Powell, OH 43065","Powell, Liberty Township, Delaware County, Ohio, USA",https://goo.gl/maps/CWVYiPe7c3S2,https://www.columbuszoo.org/,40.156083,-83.1204929
-44,Northeastern Wisconsin Zoo,"4378 Reforestation Rd, Green Bay, WI 54313","Green Bay, Wisconsin, USA",https://goo.gl/maps/Wi6pMXofB6w,https://newzoo.org,44.6603441,-88.0915213
-47,Happy Hollow Park & Zoo,"748 Story Rd, San Jose, CA 95112 USA","San Jose, CA, USA",https://goo.gl/maps/pXaxYuZQwYH2,http://www.hhpz.org/,37.325749,-121.8635721
-48,Bronx Zoo,"2300 Southern Blvd, Bronx, NY 10460","Bronx, NY, USA",https://goo.gl/maps/YZZd8WbFQrA2,https://bronxzoo.com/,40.8505989,-73.8791869
-49,National Zoological Park,"3001 Connecticut Ave NW, Washington, DC 20008","Washington, DC, USA",https://goo.gl/maps/g8NQQHL5Qqw,https://nationalzoo.si.edu/,38.9296198,-77.0519731
-65,Cincinnati Zoo and Botanical Garden,"3400 Vine St, Cincinnati, OH 45220","Cincinnati, OH, USA",https://goo.gl/maps/N3XtwSMHnx22,https://nationalzoo.si.edu/,39.1445771,-84.5108057
-67,Woodland Park Zoo,"5500 Phinney Ave N, Seattle, WA 98103","Seattle, WA, USA",https://goo.gl/maps/4WtXGc1ZGnp,https://www.zoo.org/,47.6681079,-122.3526429
-75,Central Park Zoo,"E 64th St, New York, NY 10021","New York City, NY, USA",https://goo.gl/maps/Jj2bHyYZhZ92,https://centralparkzoo.com/,40.767782,-73.9740222
-77,Henry Vilas Zoo,"702 S Randall Ave, Madison, WI 53715","Madison, Wisconsin, USA",https://goo.gl/maps/eNq2cY1kKNu,http://www.vilaszoo.org/,43.0606143,-89.4122236
-80,Lincoln Children's Zoo,"1222 S 27th St, Lincoln, NE 68502","Lincoln, NE, USA",https://goo.gl/maps/5kHk6aS6A2R2,https://www.lincolnzoo.org/,40.8005726,-96.6795449
